	onset	duration
cue	0	2.5
1-back	2.5	30
rest	32.5	10
cue	42.5	2.5
2-back	45	30
rest	75	10
cue	85	2.5
1-back	87.5	30
rest	117.5	10
cue	127.5	2.5
2-back	130	30
rest	160	10
cue	170	2.5
1-back	172.5	30
rest	202.5	10
cue	212.5	2.5
2-back	215	30
rest	245	10
cue	255	2.5
1-back	257.5	30
rest	287.5	10
cue	297.5	2.5
2-back	300	30
rest	330	10
